A, B, ALU_OP, Shift_Amt, Result, NE, LT, OVF
15, 7, 2, 0, 7, 0, 0, 0
255, 15, 2, 0, 15, 0, 0, 0
0, 4294967295, 2, 0, 0, 0, 0, 0
4294967295, 0, 2, 0, 0, 0, 0, 0
4294967295, 4294967295, 2, 0, 4294967295, 0, 0, 0
0, 0, 2, 0, 0, 0, 0, 0
1, 1, 2, 0, 1, 0, 0, 0
1, 0, 2, 0, 0, 0, 0, 0
0, 1, 2, 0, 0, 0, 0, 0
170, 85, 2, 0, 0, 0, 0, 0
170, 170, 2, 0, 170, 0, 0, 0
85, 85, 2, 0, 85, 0, 0, 0
4080, 240, 2, 0, 240, 0, 0, 0
2863311530, 1431655765, 2, 0, 0, 0, 0, 0
2147483648, 2147483648, 2, 0, 2147483648, 0, 0, 0
1073741824, 536870912, 2, 0, 0, 0, 0, 0
268435456, 268435456, 2, 0, 268435456, 0, 0, 0
65535, 255, 2, 0, 255, 0, 0, 0
16711680, 255, 2, 0, 0, 0, 0, 0
4278190080, 16777215, 2, 0, 0, 0, 0, 0
