A, B, ALU OP, Shift Amount, Result, isNE, isLT, OVF
         15,          7, 3, 0,         15,1,0,0
        255,         15, 3, 0,        255,1,0,0
          0,         -1, 3, 0,         -1,1,0,0
         -1,          0, 3, 0,         -1,1,1,0
         -1,         -1, 3, 0,         -1,0,0,0
          0,          0, 3, 0,          0,0,0,0
          1,          1, 3, 0,          1,0,0,0
          1,          0, 3, 0,          1,1,0,0
          0,          1, 3, 0,          1,1,1,0
        170,         85, 3, 0,        255,1,0,0
        170,        170, 3, 0,        170,0,0,0
         85,         85, 3, 0,         85,0,0,0
       4080,        240, 3, 0,       4080,1,0,0
-1431655766, 1431655765, 3, 0,         -1,1,1,1
-2147483648, 1073741824, 3, 0,-1073741824,1,1,1
  268435456,  134217728, 3, 0,  402653184,1,0,0
      65535,   16711680, 3, 0,   16777215,1,1,0
        255,      65280, 3, 0,      65535,1,1,0
   16777216,  -16777216, 3, 0,  -16777216,1,0,0
          1,          2, 3, 0,          3,1,1,0
