A, B, ALU OP, Shift Amount, Result, isNE, isLT, OVF
          8,          0, 5, 1,          4,1,0,0
         16,          0, 5, 2,          4,1,0,0
         32,          0, 5, 3,          4,1,0,0
         64,          0, 5, 4,          4,1,0,0
        128,          0, 5, 5,          4,1,0,0
        240,          0, 5, 4,         15,1,0,0
      65280,          0, 5, 8,        255,1,0,0
-2147483648,          0, 5, 1,-1073741824,1,1,0
-2147483648,          0, 5,31,         -1,1,1,0
         -2,          0, 5, 1,         -1,1,1,0
         -4,          0, 5, 2,         -1,1,1,0
         -8,          0, 5, 3,         -1,1,1,0
        -16,          0, 5, 4,         -1,1,1,0
     -65536,          0, 5,16,         -1,1,1,0
          0,          0, 5, 5,          0,0,0,0
 2147483647,          0, 5, 1, 1073741823,1,0,0
 1073741824,          0, 5,10,    1048576,1,0,0
 1431655765,          0, 5, 1,  715827882,1,0,0
       2720,          0, 5, 4,        170,1,0,0
       1360,          0, 5, 4,         85,1,0,0
