
A,B,ALU_OP,Shift_Amt,Result,NE,LT,OVF
8,0,5,1,4,0,0,0
16,0,5,2,4,0,0,0
32,0,5,3,4,0,0,0
64,0,5,4,4,0,0,0
128,0,5,5,4,0,0,0
240,0,5,4,15,0,0,0
65280,0,5,8,255,0,0,0
2147483648,0,5,1,3221225472,0,0,0
2147483648,0,5,31,4294967295,0,0,0
4294967294,0,5,1,4294967295,0,0,0
4294967292,0,5,2,4294967295,0,0,0
4294967288,0,5,3,4294967295,0,0,0
4294967280,0,5,4,4294967295,0,0,0
4294901760,0,5,16,4294967295,0,0,0
0,0,5,5,0,0,0,0
2147483647,0,5,1,1073741823,0,0,0
1073741824,0,5,10,1048576,0,0,0
1431655765,0,5,1,715827882,0,0,0
2720,0,5,4,170,0,0,0
1360,0,5,4,85,0,0,0
